LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
IEFFNS3QV1,19,131288,161995,430,137,8,19.49,72,0.9,PhD,Part-time,Single,Yes,No,Auto,No,1
UTPO5HV5RT,41,48765,119044,775,72,1,23.19,24,0.4,High School,Unemployed,Widowed,No,Yes,Education,No,1
4Z5WL3937K,61,55106,34165,576,236,1,5.38,60,0.38,Master's,Self-employed,Divorced,Yes,Yes,Home Improvement,Yes,1
NYUMNMXGBQ,47,63932,72203,455,45,6,8.12,48,0.56,PhD,Unemployed,Widowed,Yes,No,Other,No,0
TXQZ09G7T1,55,67091,9114,517,105,1,19.51,48,0.95,Master's,Full-time,Married,Yes,Yes,Business,No,1
L50SBIRT0H,19,31949,41321,489,287,6,9.04,60,0.14,High School,Part-time,Widowed,No,No,Auto,Yes,1
6KAGJQONG0,77,47744,78297,716,261,1,16.74,72,0.42,Master's,Full-time,Divorced,No,Yes,Education,No,0
Z9TOMV5F8C,38,118319,101652,845,175,6,4.79,24,0.87,Bachelor's,Self-employed,Single,Yes,No,Business,Yes,1
BO4ZE87C0V,50,102193,104304,340,165,3,12.95,60,0.46,Bachelor's,Unemployed,Widowed,Yes,No,Auto,No,0
U3B9MNJPGH,29,46187,161498,606,144,8,19.26,12,0.28,Master's,Full-time,Widowed,Yes,Yes,Home Improvement,Yes,1
B5AMCFFZ4Y,75,148311,22772,637,329,6,18.1,48,0.48,High School,Self-employed,Divorced,Yes,No,Home Improvement,Yes,0
A6G70ECU3A,39,134454,108754,613,282,1,20.93,36,0.45,High School,Unemployed,Single,No,Yes,Auto,Yes,0
KL18Q834DZ,78,24489,8712,374,53,5,22.3,12,0.92,Bachelor's,Part-time,Single,Yes,No,Education,No,0
3MNT14HUP8,61,71877,137439,578,177,8,20.01,72,0.79,High School,Full-time,Married,No,Yes,Auto,Yes,1
9BOTRDV86I,42,59922,120142,475,243,3,17.77,12,0.55,Master's,Unemployed,Married,Yes,Yes,Business,Yes,1
5VQRQ3PO3T,66,104074,96736,572,340,6,3.7,60,0.99,PhD,Unemployed,Divorced,No,Yes,Business,No,0
R2A2UBGC1D,44,47131,56924,588,126,5,14.77,24,0.52,Master's,Unemployed,Single,Yes,No,Home Improvement,Yes,0
ZIC84TQXYM,76,125765,8726,571,270,6,3.83,48,0.15,Bachelor's,Unemployed,Single,No,Yes,Auto,No,0
R9YWRFSAL5,59,83963,94152,365,131,1,20.78,72,0.34,Bachelor's,Full-time,Married,No,Yes,Home Improvement,No,0
EAE0E0ECR3,45,116884,32723,782,92,7,10.06,72,0.49,Bachelor's,Unemployed,Married,No,Yes,Education,Yes,0
SWB2X5IGNW,77,135917,131969,547,72,9,15.37,36,0.24,High School,Self-employed,Divorced,Yes,No,Business,Yes,0
09LEBGTE49,33,34285,105494,455,247,2,9.15,12,0.95,Master's,Full-time,Single,No,Yes,Other,No,0
T7RB49KQ5B,32,47626,145180,346,347,5,20.22,36,0.79,PhD,Unemployed,Widowed,Yes,No,Other,Yes,0
8NXGEJ2ESL,79,29198,40643,753,272,4,22.5,24,0.34,Master's,Full-time,Married,No,No,Auto,Yes,0
BHMREOKWT3,79,25254,167396,500,42,6,11.77,24,0.63,PhD,Self-employed,Divorced,No,No,Auto,Yes,0
X5OTEL409O,64,54238,108896,423,40,6,21.98,36,0.75,Master's,Self-employed,Single,Yes,Yes,Other,Yes,0
HPIPG2SJZH,79,11252,144999,300,169,2,8.88,48,0.95,Bachelor's,Full-time,Single,No,Yes,Auto,No,0
7O1S1TG7K0,68,49764,98680,490,211,2,14.76,24,0.89,PhD,Unemployed,Married,No,No,Business,No,1
T05EKCJCI1,61,87709,101546,815,167,4,21.89,36,0.56,Master's,Unemployed,Divorced,Yes,Yes,Education,Yes,0
S0CHVFJR81,72,63682,158515,741,38,1,10.17,12,0.8,High School,Self-employed,Widowed,No,Yes,Education,No,1
VTX7I0GHSF,69,69494,84973,442,244,9,23.99,36,0.61,High School,Unemployed,Married,No,No,Home Improvement,Yes,1
O2AOMQT3V3,74,91317,68449,490,150,7,5.68,36,0.6,Master's,Self-employed,Divorced,No,No,Business,Yes,1
MRVAZLNAS2,20,75215,114834,832,110,7,3.4,60,0.2,Bachelor's,Unemployed,Single,No,Yes,Auto,Yes,0
9P27OD186S,54,88587,196305,526,46,3,22.89,24,0.21,PhD,Self-employed,Widowed,Yes,No,Auto,Yes,1
EIEC0YZDGM,68,16949,30537,612,62,3,4.51,48,0.58,Master's,Part-time,Divorced,No,Yes,Home Improvement,No,0
57CRKKFBUJ,24,65393,82576,601,224,1,24.82,48,0.34,High School,Unemployed,Widowed,No,No,Home Improvement,Yes,1
RPPLAO6SXI,38,148013,112522,759,68,3,23.93,60,0.12,PhD,Unemployed,Divorced,No,Yes,Auto,No,0
FMF69ZT95S,26,35934,27612,700,298,3,6.01,72,0.75,High School,Unemployed,Divorced,No,Yes,Auto,Yes,0
PLEZWQ4UFX,56,85745,11471,692,289,4,14.83,48,0.13,High School,Full-time,Divorced,No,No,Business,No,1
ZJKE5DU9LC,35,104456,171703,506,295,4,7.07,36,0.64,Master's,Unemployed,Divorced,No,Yes,Home Improvement,No,1
438JXYI6DU,21,63413,36348,509,202,3,12.42,60,0.59,High School,Full-time,Widowed,No,Yes,Business,No,0
Y4OERUQRX9,42,107239,6177,414,60,8,4.35,12,0.97,PhD,Full-time,Married,No,No,Auto,No,1
T31FTRAYQQ,77,52318,140832,550,317,8,7.93,24,0.54,Bachelor's,Self-employed,Widowed,Yes,Yes,Other,Yes,0
2YYTBBTE2X,31,80390,37779,518,313,1,10.99,24,0.16,Master's,Full-time,Divorced,Yes,Yes,Other,No,0
QEILFG7RYX,67,53088,26636,706,160,7,12.65,24,0.6,PhD,Full-time,Widowed,Yes,Yes,Auto,Yes,0
R537AISXQB,75,113196,86889,742,330,2,24.5,36,0.86,Master's,Part-time,Widowed,Yes,No,Home Improvement,No,1
J0GXU58071,26,65479,58551,653,15,1,20.77,12,1.0,High School,Unemployed,Widowed,No,No,Other,No,0
Q4T7BVG0SR,43,29963,147628,849,337,3,19.22,60,0.49,High School,Full-time,Divorced,No,No,Home Improvement,No,0
QB91QR7NEL,70,65123,163670,441,93,4,14.81,60,0.39,PhD,Unemployed,Widowed,Yes,No,Other,Yes,0
1PNYMSH3V8,19,135911,147635,800,303,6,21.48,24,0.92,PhD,Full-time,Single,Yes,No,Home Improvement,No,0
R6C5DWTZM2,37,112468,51819,846,137,5,10.47,12,0.27,Bachelor's,Self-employed,Divorced,Yes,Yes,Other,Yes,1
C3IEDJYOSM,45,83477,78770,841,337,4,18.6,12,0.65,PhD,Part-time,Widowed,No,Yes,Home Improvement,Yes,1
Y97918PTSY,64,24388,163038,806,37,8,24.86,12,0.47,PhD,Full-time,Single,No,Yes,Business,Yes,1
SCBW2ZT3FR,77,15569,195961,580,126,4,9.92,48,0.14,Master's,Unemployed,Widowed,Yes,No,Home Improvement,No,1
BLADAF5E4Y,24,79836,163059,723,274,2,17.83,48,0.41,High School,Self-employed,Married,Yes,Yes,Business,No,0
SIYGHQBJ6A,61,114573,83714,569,163,3,21.57,24,0.34,PhD,Unemployed,Widowed,Yes,No,Business,No,0
TCVPC9MJ68,78,55002,194420,453,318,6,23.15,12,0.72,Bachelor's,Self-employed,Widowed,Yes,Yes,Auto,No,0
AQQEFVLT01,25,147326,29596,382,76,8,18.79,72,0.95,PhD,Part-time,Married,Yes,No,Business,No,0
I8P89TYTBL,64,147162,169246,725,173,8,9.24,12,0.34,High School,Self-employed,Divorced,No,Yes,Education,No,0
TXABORM4AE,52,34071,69106,574,357,9,10.18,60,0.83,PhD,Unemployed,Married,Yes,Yes,Business,No,0
FLL1YUDZA1,31,68243,64182,583,320,7,3.46,60,0.15,Master's,Unemployed,Divorced,No,No,Home Improvement,Yes,1
O0UFQMXQ6Z,34,135827,92163,472,90,2,19.74,24,0.58,High School,Full-time,Married,Yes,Yes,Business,No,0
Z9ZGKKTJWO,53,118215,44310,626,237,8,3.94,72,0.16,PhD,Self-employed,Widowed,Yes,Yes,Home Improvement,Yes,0
W0RYECQLLN,67,111570,61088,362,263,7,22.02,12,0.94,Master's,Unemployed,Widowed,No,No,Home Improvement,Yes,0
GQF818XC1W,57,79724,133803,372,178,8,5.61,72,0.79,High School,Full-time,Divorced,Yes,Yes,Education,No,1
A2OA67JCWG,21,125359,144978,674,208,3,6.78,24,0.69,PhD,Part-time,Divorced,No,Yes,Business,No,0
0W2YLYR33A,19,85697,41914,807,72,7,13.48,60,0.84,Master's,Unemployed,Single,No,No,Business,Yes,0
DUEV0ZCIAA,79,38732,115350,697,106,9,19.23,60,0.68,Bachelor's,Full-time,Single,Yes,No,Other,Yes,0
AYJVT911PK,23,131465,50379,419,344,3,6.06,48,0.97,Master's,Unemployed,Widowed,Yes,No,Other,No,1
BUR6QL8TR2,71,67108,173722,736,294,6,12.68,24,0.74,Bachelor's,Self-employed,Widowed,No,No,Auto,Yes,0
M6ITPI8RCK,59,121195,182953,764,283,2,13.62,24,0.93,PhD,Full-time,Single,No,No,Home Improvement,Yes,0
IOYWCHRIZT,21,113081,51413,585,352,2,7.67,12,0.57,Master's,Self-employed,Single,Yes,Yes,Education,Yes,1
QZ0W8N83TG,71,46668,142084,564,181,5,5.54,12,0.21,Bachelor's,Part-time,Divorced,No,No,Other,Yes,0
9EUBKNLHQV,46,33061,186187,619,36,5,21.4,48,0.58,High School,Self-employed,Married,Yes,No,Business,No,1
TCDHAWD2SM,35,89252,12151,675,136,7,14.05,36,0.21,Master's,Full-time,Divorced,No,Yes,Auto,No,0
B39GMBKSB6,43,49749,62716,388,337,2,3.32,72,0.63,PhD,Unemployed,Single,Yes,Yes,Education,Yes,1
XO2B9D9PTN,61,140560,98747,502,55,7,20.67,36,0.53,High School,Full-time,Widowed,No,Yes,Business,Yes,0
KMUQY5X0K8,51,114680,172450,633,186,5,24.58,36,0.66,Bachelor's,Self-employed,Single,No,Yes,Business,Yes,0
Y8J320EKLM,27,61745,178724,521,340,6,16.33,24,0.11,Master's,Self-employed,Widowed,Yes,Yes,Home Improvement,No,1
4N92DFEBZQ,79,118464,149539,340,257,8,14.08,72,0.28,Master's,Unemployed,Widowed,No,No,Home Improvement,No,0
V15W9TQF7Y,53,101865,167082,367,57,4,22.33,24,0.54,PhD,Part-time,Widowed,No,Yes,Other,Yes,0
PPJK1J1PTS,31,122428,126999,813,122,7,23.96,72,0.96,High School,Full-time,Widowed,No,No,Other,Yes,1
FVANHZW61I,48,33624,119793,426,187,6,19.6,60,0.45,Master's,Unemployed,Married,No,Yes,Business,Yes,0
B562TM2CMI,65,33321,190763,554,229,2,12.8,24,0.48,Master's,Unemployed,Single,No,No,Business,No,1
ZF7VGIZFGD,32,32574,113177,315,167,8,16.03,24,0.74,High School,Unemployed,Divorced,No,Yes,Other,Yes,0
O5NL95FZ8K,25,146312,17289,776,113,9,18.42,24,0.64,Master's,Full-time,Widowed,No,No,Other,Yes,1
VV8IWET7LF,31,128831,181048,361,251,5,7.27,48,0.37,High School,Full-time,Widowed,Yes,No,Business,Yes,0
1B7P8QTV75,40,145504,179668,731,106,4,12.84,24,0.47,High School,Full-time,Divorced,No,No,Education,Yes,0
9TAJH03VPB,77,105257,159243,567,36,6,21.26,12,0.3,High School,Part-time,Divorced,No,No,Business,Yes,1
4DU3ZX6KT6,74,74291,91365,334,334,8,17.4,12,0.97,PhD,Unemployed,Widowed,Yes,No,Education,No,0
LSYE19WRUU,79,137600,119014,793,91,3,12.05,72,0.22,High School,Self-employed,Divorced,No,No,Education,No,1
XV4SHXS48Q,57,60428,180211,768,17,1,17.59,60,0.43,High School,Self-employed,Divorced,No,No,Business,No,1
0134O26VLD,38,141374,184785,624,353,4,5.6,48,0.12,Bachelor's,Unemployed,Married,Yes,No,Auto,Yes,1
P9CXTU441H,33,141127,165806,603,62,4,11.83,72,0.3,Bachelor's,Self-employed,Divorced,No,No,Other,No,0
F6IJ3C98VQ,62,121317,77588,575,149,1,20.45,12,0.8,PhD,Part-time,Single,No,No,Home Improvement,Yes,0
FQEXNJH8HK,35,149789,68646,500,138,9,7.85,48,0.28,High School,Part-time,Single,Yes,Yes,Business,No,0
LT1FGEG3MF,64,137449,8654,744,185,3,7.09,48,0.17,Bachelor's,Full-time,Single,Yes,No,Education,No,1
3HVWQ9MQU9,70,38699,23743,623,184,5,23.92,60,0.53,Bachelor's,Full-time,Widowed,No,No,Business,Yes,1
BBVXPJ07WT,41,83686,53368,334,204,6,7.62,48,0.11,Master's,Full-time,Single,No,Yes,Other,Yes,1
M7I5WKDLJ2,43,77661,142513,781,259,8,8.74,24,0.18,High School,Full-time,Married,Yes,No,Education,Yes,0
F72M8I7B96,42,54247,124735,779,213,6,24.33,48,0.83,Bachelor's,Full-time,Single,No,No,Home Improvement,No,1
7BYMZE0PPS,77,115113,160683,364,255,3,19.16,60,0.79,PhD,Self-employed,Widowed,Yes,Yes,Home Improvement,Yes,0
6RBQETJ8GR,77,14621,124891,307,134,6,18.39,72,0.92,Master's,Self-employed,Married,Yes,Yes,Home Improvement,No,0
OUFRCHT15M,77,146198,112971,600,60,1,21.76,60,0.87,Master's,Full-time,Single,Yes,No,Auto,No,0
NECK284RME,62,146194,17149,642,309,4,5.55,60,0.71,High School,Part-time,Married,No,Yes,Education,No,0
Z4C1XCHTSX,58,28030,105102,730,87,6,18.53,12,0.15,High School,Self-employed,Married,Yes,No,Education,Yes,0
67YW5ZPENZ,46,92838,64189,723,323,7,14.08,24,0.8,Master's,Part-time,Widowed,Yes,No,Auto,Yes,0
01NE2PTCML,32,94717,157747,631,206,3,21.24,12,0.86,PhD,Part-time,Widowed,Yes,No,Education,Yes,0
ZK4ARR654K,62,48638,76031,737,128,9,14.18,72,0.82,High School,Unemployed,Married,No,Yes,Auto,No,0
L7ERA1I0M5,18,77067,47668,473,310,7,16.65,36,0.56,High School,Unemployed,Single,No,No,Business,No,1
IHTFE1QXUY,42,128033,149745,826,2,1,13.51,72,0.31,Master's,Full-time,Widowed,No,No,Other,Yes,0
1X172DO2R6,24,115977,93204,325,241,2,13.52,24,0.86,Master's,Part-time,Married,Yes,Yes,Home Improvement,No,0
P1BKEABN00,26,98869,159741,705,120,1,19.9,48,0.75,High School,Self-employed,Divorced,No,No,Auto,No,1
AQE24JVP1Z,41,115186,170140,531,101,9,16.83,60,0.98,Bachelor's,Unemployed,Divorced,No,No,Auto,No,1
LMSO6IV6XL,18,44674,145507,832,37,9,16.93,36,0.24,High School,Unemployed,Widowed,Yes,No,Auto,Yes,1
EUA63MDKYE,61,56271,188321,849,340,7,12.91,24,0.3,Bachelor's,Part-time,Single,Yes,No,Business,No,1
DGZBRJ2W62,25,83688,42384,804,132,3,14.68,12,0.29,Master's,Unemployed,Divorced,No,No,Auto,No,0
EZT43GYWII,41,121076,86929,478,201,5,19.41,60,0.81,Bachelor's,Unemployed,Divorced,No,No,Other,Yes,1
0LY7FSX94P,28,11062,132959,431,347,4,21.17,72,0.27,PhD,Self-employed,Divorced,Yes,Yes,Other,Yes,1
Z7KQRU67YU,68,60448,81153,754,20,7,18.32,12,0.16,Master's,Part-time,Single,No,No,Home Improvement,Yes,1
6WRH8W9RAL,34,105462,80388,647,241,9,23.33,24,1.0,High School,Unemployed,Single,Yes,No,Business,Yes,1
H0QZUTHX11,25,147301,36401,839,108,2,21.05,24,0.12,High School,Part-time,Widowed,Yes,Yes,Other,Yes,0
8JEYR545BI,52,57915,124503,705,302,8,15.36,72,0.85,Master's,Unemployed,Widowed,No,No,Education,Yes,1
A9Q87JEGK6,52,14632,132834,375,83,9,17.77,36,0.43,Master's,Self-employed,Divorced,No,No,Education,No,1
WGN5BPILL6,50,114592,39084,791,82,9,23.38,72,0.86,PhD,Part-time,Single,No,Yes,Education,No,1
9BI5YR0Y8C,76,144668,115641,493,290,7,16.62,48,0.6,Master's,Unemployed,Married,No,Yes,Auto,No,1
LKUZNJ2QQJ,22,119779,110111,461,68,9,21.15,12,0.91,High School,Self-employed,Divorced,Yes,Yes,Auto,No,0
GUJSQESPZ2,59,147240,191898,646,128,9,18.15,36,0.93,PhD,Unemployed,Widowed,No,Yes,Education,Yes,1
ANXTT0ADEW,56,118099,172523,660,195,3,15.14,60,0.11,High School,Part-time,Single,No,Yes,Home Improvement,No,1
UHKLDP56DR,75,17561,143299,386,139,4,8.32,48,0.17,Bachelor's,Unemployed,Widowed,No,Yes,Home Improvement,Yes,1
8P5XJV6T33,58,92152,167982,561,282,2,12.37,36,0.33,Master's,Part-time,Widowed,Yes,Yes,Auto,Yes,0
E6LX3A69UQ,45,135036,41041,513,311,3,24.29,12,0.7,Bachelor's,Part-time,Single,No,No,Education,No,1
65DK33EJMD,24,134049,93920,561,233,5,17.47,24,0.9,High School,Unemployed,Divorced,No,No,Home Improvement,No,1
Q507FSRYEY,26,36734,70681,582,22,5,15.42,60,0.51,Bachelor's,Self-employed,Single,Yes,No,Auto,Yes,0
TUDGBPC6XD,25,147443,86571,766,152,6,23.53,72,0.65,Bachelor's,Full-time,Divorced,Yes,Yes,Education,Yes,1
X6FFJ73AZE,29,36069,132556,679,276,7,15.9,12,0.27,High School,Self-employed,Widowed,Yes,No,Business,Yes,0
88STMDUAF6,51,22910,31160,661,60,7,14.57,48,0.82,High School,Self-employed,Single,Yes,Yes,Education,Yes,0
8KOJCAXY6Z,50,83479,22633,748,318,1,19.7,48,0.97,Master's,Unemployed,Married,Yes,No,Education,No,1
MY5T2B9XT8,65,91264,22014,740,51,2,18.68,24,0.34,Bachelor's,Self-employed,Divorced,No,No,Other,Yes,1
EMEDXZT6X4,72,33275,85532,392,343,9,7.25,24,0.55,PhD,Self-employed,Married,Yes,No,Other,No,0
EGYXULH8FX,40,82274,54104,723,152,2,13.37,60,0.18,PhD,Full-time,Divorced,Yes,No,Business,Yes,0
FUZNKWCEQ7,79,110776,177693,441,236,6,13.4,72,0.6,High School,Self-employed,Single,Yes,Yes,Business,Yes,1
LP1IV9QLII,41,58447,82231,590,310,1,11.32,60,0.55,High School,Full-time,Married,Yes,Yes,Education,Yes,0
BM5YYC0LP7,54,136394,73388,731,301,3,14.38,24,0.23,Bachelor's,Unemployed,Single,Yes,No,Home Improvement,No,0
NJW1MLXVEE,52,85703,21014,348,31,2,12.09,24,0.5,High School,Full-time,Divorced,Yes,Yes,Business,Yes,1
XGX95J2ADL,61,86090,97578,601,54,3,7.39,48,0.4,PhD,Part-time,Divorced,Yes,Yes,Education,No,0
JWPPUGLVGB,57,27260,169827,489,351,5,12.07,24,0.57,Master's,Part-time,Divorced,Yes,No,Auto,No,0
NW5WXUS1SD,39,122581,45390,435,35,6,4.59,36,0.63,Master's,Full-time,Divorced,No,Yes,Other,No,0
A89P8GFX5G,44,13812,28711,703,109,9,15.67,12,0.11,Bachelor's,Part-time,Widowed,No,Yes,Home Improvement,Yes,0
F2YFD1IEPZ,52,126148,96658,640,176,4,21.78,24,0.78,Master's,Unemployed,Divorced,No,Yes,Education,No,0
P848A3B7QD,18,126421,62993,617,313,7,18.96,60,0.74,High School,Part-time,Married,Yes,Yes,Auto,No,0
OUU1M9OEYR,52,11605,163285,662,294,6,10.93,72,0.43,High School,Full-time,Divorced,Yes,No,Other,Yes,1
YQM1KOGTAB,54,82303,193856,681,335,2,4.92,72,0.15,High School,Unemployed,Single,Yes,No,Auto,Yes,0
J0AIRIV4XB,64,86125,12421,532,96,8,7.45,72,0.78,High School,Part-time,Widowed,No,Yes,Education,No,1
D4XM2YZS8I,31,134040,22727,643,212,7,15.0,36,0.96,Bachelor's,Unemployed,Married,Yes,No,Business,No,1
UHYX4X53L7,20,14324,117418,848,316,7,7.56,60,0.32,Master's,Full-time,Widowed,Yes,No,Other,Yes,1
M7A0PRN0VE,18,86323,9358,828,136,8,14.97,36,0.39,PhD,Part-time,Widowed,Yes,No,Auto,No,1
JYSVN19J18,22,19111,70108,482,5,1,8.1,24,0.27,Master's,Unemployed,Widowed,No,Yes,Business,No,1
TZ45SYNCAS,43,26389,99018,340,108,1,21.68,12,0.62,High School,Unemployed,Single,No,Yes,Home Improvement,No,1
AMUVJLBB39,72,132177,129457,696,34,8,11.74,72,0.24,PhD,Part-time,Widowed,Yes,No,Education,Yes,1
GDAQONVXY7,31,51427,168189,793,38,4,8.4,60,0.42,Bachelor's,Unemployed,Widowed,No,No,Education,No,1
86FIJK0SDP,56,132883,36910,632,149,5,20.87,72,0.73,High School,Unemployed,Divorced,Yes,Yes,Other,Yes,0
0XUMBEW6F4,44,141189,131888,426,117,8,10.54,36,0.6,High School,Full-time,Single,Yes,No,Auto,Yes,1
359I0KY8TX,26,135808,60754,300,260,5,5.45,48,0.45,PhD,Full-time,Married,No,Yes,Home Improvement,Yes,1
EY42LOX7C2,32,122221,198510,467,86,4,15.55,24,0.48,Bachelor's,Full-time,Married,No,No,Other,No,1
ZY3ENAOUHP,32,23234,114847,318,75,6,15.79,12,0.61,PhD,Full-time,Married,No,Yes,Other,Yes,0
4YCHITHKHR,43,63441,165443,631,312,5,18.72,24,0.11,Bachelor's,Full-time,Single,No,Yes,Auto,No,1
XODO36HNVB,59,10846,187573,755,213,7,8.28,48,0.17,High School,Full-time,Married,Yes,Yes,Home Improvement,Yes,0
5MCCV1A8RB,77,20954,197018,408,284,7,12.76,12,0.89,Master's,Part-time,Single,Yes,Yes,Auto,No,1
DK6FKJ46RD,30,89239,43467,567,238,4,9.21,48,0.17,High School,Full-time,Divorced,No,No,Education,No,1
I616BPWW5X,68,56514,153697,744,164,5,4.78,24,0.74,Master's,Unemployed,Divorced,No,Yes,Business,No,0
AMU77IA5OB,49,98236,38893,539,86,3,22.29,36,0.93,Master's,Part-time,Single,Yes,No,Education,Yes,1
Z2P6P3EEW6,56,107579,81329,600,140,4,19.04,24,0.34,Bachelor's,Unemployed,Married,Yes,Yes,Education,No,0
IMOOTX0246,66,147541,36007,402,159,4,9.63,24,0.43,PhD,Full-time,Single,Yes,Yes,Other,No,0
UEU0XO5OSF,69,52101,175604,549,45,3,16.19,24,0.61,Bachelor's,Full-time,Single,Yes,No,Education,Yes,1
BE1ONC67TM,78,74323,59253,752,111,5,7.43,60,0.89,High School,Unemployed,Widowed,No,No,Home Improvement,Yes,1
2PDH458V54,49,101922,17323,819,44,5,22.59,48,0.95,PhD,Unemployed,Single,No,No,Education,No,0
BPUO2EKKVA,21,137534,116335,452,246,7,5.53,48,0.77,Master's,Unemployed,Widowed,No,Yes,Home Improvement,Yes,0
AX41DKNJ4N,47,77584,117356,473,103,4,3.08,72,0.18,Master's,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
TYOQDCX924,54,114537,115944,642,84,4,14.04,48,0.7,High School,Self-employed,Widowed,Yes,No,Other,Yes,1
BN0I92BP9P,40,88477,150282,730,133,9,15.83,72,0.47,PhD,Self-employed,Single,No,Yes,Home Improvement,No,1
UAJOVS6ZOU,56,52533,21456,623,107,6,15.74,60,0.52,High School,Self-employed,Divorced,No,No,Education,Yes,0
DCHPPZ95GU,62,11828,36367,719,17,4,4.2,36,0.14,High School,Part-time,Widowed,No,Yes,Other,No,1
YKB49EXFZ7,32,11917,59624,784,93,2,9.91,72,0.27,Bachelor's,Full-time,Single,Yes,Yes,Other,Yes,0
V4KGQ592HH,60,30618,146178,711,149,6,13.98,24,0.81,High School,Unemployed,Divorced,No,Yes,Home Improvement,Yes,1
MM7QZ1OMFX,46,42254,73008,383,245,2,7.76,36,0.51,PhD,Full-time,Widowed,Yes,No,Home Improvement,No,0
YW6SS87P3J,53,115292,130926,412,288,5,22.2,60,0.37,High School,Unemployed,Single,No,Yes,Business,Yes,0
49276B64W5,30,57362,120395,631,208,6,4.92,48,0.45,PhD,Full-time,Single,No,No,Business,Yes,1
DWIMWGTKAH,49,30128,121492,677,125,4,13.72,72,0.87,Master's,Part-time,Married,No,No,Other,Yes,0
WJBU60HIRA,24,133781,77240,340,234,3,18.21,24,0.77,High School,Self-employed,Married,Yes,Yes,Business,Yes,0
DQ4UJLH7PP,76,75545,69315,404,121,7,8.76,12,0.35,PhD,Full-time,Widowed,Yes,No,Education,No,0
7LOEN1PHTX,68,92180,15756,501,137,2,16.73,12,0.21,Master's,Unemployed,Widowed,Yes,No,Auto,No,0
ZC1U0JI9WV,39,97958,41378,749,114,6,21.25,36,0.33,PhD,Full-time,Widowed,Yes,Yes,Other,No,0
ITSO19G36X,45,143291,140327,565,161,4,7.19,48,0.93,Master's,Part-time,Single,Yes,No,Auto,No,1
UBGJK948L4,19,49809,150556,509,200,6,23.18,12,0.62,Bachelor's,Part-time,Widowed,Yes,No,Business,No,1
